P112	小學	CLEARWATER BAY SCHOOL     http://www.cwbs.edu.hk	新界西貢大埔仔地段２３５號約分２２９	TAI PO TSAI, SAI KUNG ON LOT NO 235 IN DD 229 NEW TERRITORIES
P113	小學	中華傳道會呂明才小學     CNEC LUI MING CHOI PRIMARY SCHOOL     http://www.cneclmc.edu.hk	新界青衣長發邨	CHEUNG FAT ESTATE TSING YI NEW TERRITORIES
P114	小學	中華傳道會許大同學校     CNEC TA TUNG SCHOOL     http://www.cnectt.edu.hk	新界葵涌葵涌葵興邨第一座校舍	ESTATE SCHOOL NO 1 KWAI HING ESTATE KWAI CHUNG NEW TERRITORIES
P115	小學	孔教學院大成小學     CONFUCIAN TAI SHING PRIMARY SCHOOL     http://www.taishingprimary.edu.hk	九龍黃大仙大成街１０號	10 TAI SHING STREET WONG TAI SIN KOWLOON
P116	小學	浸信宣道會呂明才小學     CONSERVATIVE BAPT LUI MING CHOI PRI SCH     http://www.lmc.edu.hk	九龍彩霞道７８號	78 CHOI HA ROAD KOWLOON
P117	小學	啓思小學     CREATIVE PRIMARY SCHOOL     http://www.creativeprisch.edu.hk	九龍九龍塘牛津道２Ａ號（啓思小學附屬幼稚園專用範圍除外）	2A OXFORD ROAD, KOWLOON TONG KOWLOON (EXCLUDING THE AREA EXCLUSIVELY USED BY CREATIVE PRIMARY SCHOOL'S KINDERGARTEN KOWLOON
P118	小學	香港中文大學校友會聯會張煊昌學校     CUHKFAA THOMAS CHEUNG SCHOOL     http://www.tcps.edu.hk	新界沙田顯徑邨嘉田苑	KA TIN COURT HIN KENG ESTATE SHATIN NEW TERRITORIES
P119	小學	金巴崙長老會耀道小學     CUMBERLAND PRESBY CHURCH YAO DAO PRI SCH     http://www.cpcyd.edu.hk/	新界新界元朗天水圍天富苑	TIN FU COURT TIN SHUI WAI YUEN LONG NEW TERRITORIES
P120	小學	香港道爾頓學校     DALTON SCHOOL HONG KONG   	九龍大角咀海輝道１０號瓏璽一樓及二樓	1/F. & 2/F. IMPERIAL CULLINAN, 10 HOI FAI ROAD TAI KOK TSUI KOWLOON
P121	小學	地利亞（閩僑）英文小學     DELIA (MAN KIU) ENGLISH PRIMARY SCHOOL     http://www.deliamk.edu.hk	新界青衣長安邨第二期屋邨第二小學	ESTATE PRIMARY SCHOOL NO 2 CHEUNG ON ESTATE, PHASE II TSING YI NEW TERRITORIES
